municipality_code,municipality_name,county_code,county_name
0114,Upplands Väsby,01,Stockholm county
0115,Vallentuna,01,Stockholm county
0117,Österåker,01,Stockholm county
0120,Värmdö,01,Stockholm county
0123,Järfälla,01,Stockholm county
0125,Ekerö,01,Stockholm county
0126,Huddinge,01,Stockholm county
0127,Botkyrka,01,Stockholm county
0128,Salem,01,Stockholm county
0136,Haninge,01,Stockholm county
0138,Tyresö,01,Stockholm county
0139,Upplands-Bro,01,Stockholm county
0140,Nykvarn,01,Stockholm county
0160,Täby,01,Stockholm county
0162,Danderyd,01,Stockholm county
0163,Sollentuna,01,Stockholm county
0180,Stockholm,01,Stockholm county
0181,Södertälje,01,Stockholm county
0182,Nacka,01,Stockholm county
0183,Sundbyberg,01,Stockholm county
0184,Solna,01,Stockholm county
0186,Lidingö,01,Stockholm county
0187,Vaxholm,01,Stockholm county
0188,Norrtälje,01,Stockholm county
0191,Sigtuna,01,Stockholm county
0192,Nynäshamn,01,Stockholm county
0305,Håbo,03,Uppsala county
0319,Älvkarleby,03,Uppsala county
0330,Knivsta,03,Uppsala county
0331,Heby,03,Uppsala county
0360,Tierp,03,Uppsala county
0380,Uppsala,03,Uppsala county
0381,Enköping,03,Uppsala county
0382,Östhammar,03,Uppsala county
0428,Vingåker,04,Södermanland county
0461,Gnesta,04,Södermanland county
0480,Nyköping,04,Södermanland county
0481,Oxelösund,04,Södermanland county
0482,Flen,04,Södermanland county
0483,Katrineholm,04,Södermanland county
0484,Eskilstuna,04,Södermanland county
0486,Strängnäs,04,Södermanland county
0488,Trosa,04,Södermanland county
0509,Ödeshög,05,Östergötland county
0512,Ydre,05,Östergötland county
0513,Kinda,05,Östergötland county
0560,Boxholm,05,Östergötland county
0561,Åtvidaberg,05,Östergötland county
0562,Finspång,05,Östergötland county
0563,Valdemarsvik,05,Östergötland county
0580,Linköping,05,Östergötland county
0581,Norrköping,05,Östergötland county
0582,Söderköping,05,Östergötland county
0583,Motala,05,Östergötland county
